datetime,district,T2M,PS,RH2M,T2M_diff,PS_diff,RH2M_diff,T2M_roll_mean,T2M_roll_std,hour,PS_roll_mean,PS_roll_std,RH2M_roll_mean,RH2M_roll_std,month,T2M_mean,T2M_std,PS_mean,PS_std,RH2M_mean,RH2M_std,T2M_seasonal_zscore,PS_seasonal_zscore,RH2M_seasonal_zscore
2023-01-01 05:00:00,Hyderabad,16.93,959.6,95.39,-0.05999999999999872,0.8000000000000682,1.1500000000000057,17.621666666666666,0.7707507162933221,5,958.9666666666667,0.4589843860815759,88.755,6.424648628524367,1,15.202499999999999,2.0487773966778837,958.5120967741935,1.6792174300996485,89.02008064516129,14.844518273008092,0.8431857959782074,0.6478632286123464,0.42910919961755783
2023-01-01 06:00:00,Hyderabad,17.11,960.6,94.64,0.17999999999999972,1.0,-0.75,17.326666666666668,0.47466479400380246,6,959.1666666666666,0.811582815655135,91.36333333333333,4.5790421123491205,1,15.646209677419355,2.0035199077420214,959.3838709677419,1.6659862235433953,88.50467741935483,14.255310488757093,0.7306093225848425,0.7299754434172353,0.4303885618965637
2023-01-01 07:00:00,Hyderabad,19.19,961.5,84.36,2.080000000000002,0.8999999999999773,-10.280000000000001,17.495,0.8602732124156864,7,959.5833333333334,1.2384129628951652,91.49333333333334,4.317479202806506,1,18.329919354838708,1.5847394676839948,960.266129032258,1.6616617745900983,76.11016129032258,13.42855070204949,0.5427268410360546,0.7425524174715541,0.6143506393745316
2023-01-01 08:00:00,Hyderabad,22.46,962.1,67.62,3.2699999999999996,0.6000000000000227,-16.739999999999995,18.31,2.207287928658153,8,960.1833333333334,1.4607075910896308,88.02833333333335,10.785127568400235,1,21.376774193548385,1.7128564780653872,960.9362903225807,1.6547214870123486,61.77032258064516,12.044203945283533,0.6324089731528948,0.70326619104973,0.4856840224501147
2023-01-01 09:00:00,Hyderabad,26.17,962.0,50.73,3.710000000000001,-0.10000000000002274,-16.890000000000008,19.808333333333334,3.7787109795096354,9,960.7666666666668,1.3485794995723865,81.16333333333334,18.302164535012434,1,24.5258064516129,1.7951497873387712,961.0096774193548,1.6294754183473072,48.70822580645161,11.889345715475379,0.9159088338943256,0.6077554589007567,0.17004923920387074
2023-01-01 10:00:00,Hyderabad,27.92,961.5,44.98,1.75,-0.5,-5.75,21.63,4.676293403968576,10,961.2166666666667,0.9537644712752141,72.95333333333333,21.948375490378947,1,26.551290322580645,1.8784455464891947,960.3846774193548,1.62541023488876,41.5233064516129,10.744064704611036,0.7286395285599141,0.6861791298622533,0.3217305222392771
2023-01-01 11:00:00,Hyderabad,29.08,960.4,41.7,1.1599999999999966,-1.1000000000000227,-3.279999999999994,23.655,4.861015326040436,11,961.3499999999999,0.7063993204981379,64.00500000000001,21.916143593251096,1,27.903225806451612,1.9591339335877775,959.2830645161291,1.6495242859041335,37.32403225806452,9.82047271885194,0.6006604108956197,0.6771258194956792,0.4455964460381958
2023-01-01 12:00:00,Hyderabad,29.82,959.2,39.76,0.740000000000002,-1.1999999999999318,-1.9400000000000048,25.773333333333337,4.156766371431845,12,961.1166666666668,1.1160943807164634,54.85833333333333,17.600764093262207,1,28.728629032258063,2.031762555215619,958.0008064516129,1.681148270364594,34.81612903225806,9.337957917259857,0.5371547796962509,0.7133181347098383,0.5294381289300855
2023-01-01 13:00:00,Hyderabad,30.11,958.1,38.99,0.28999999999999915,-1.1000000000000227,-0.769999999999996,27.593333333333334,2.897776158827087,13,960.5500000000001,1.6281891781977083,47.296666666666674,10.838056406324364,1,29.054435483870968,2.097331367648549,956.9153225806451,1.7150242054201266,33.55887096774194,9.155283357115115,0.5032893382567828,0.6907642560442403,0.5932234776804816
2023-01-01 14:00:00,Hyderabad,29.97,957.5,38.96,-0.14000000000000057,-0.6000000000000227,-0.030000000000001137,28.845,1.5416192785509653,14,959.7833333333333,1.823641046551285,42.52,4.623422974377552,1,28.843145161290323,2.155740442819049,956.3338709677419,1.7489549537852167,33.45451612903226,9.273181048369286,0.5227228734624908,0.6667576141594264,0.5936995991182441
2023-01-01 15:00:00,Hyderabad,29.39,957.2,39.97,-0.5799999999999983,-0.2999999999999545,1.009999999999998,29.381666666666664,0.8119462215360501,15,958.9833333333332,1.7057745063948244,40.72666666666667,2.3100793637165253,1,28.04959677419355,2.189812851339572,956.2798387096774,1.7661671255114106,34.92790322580645,9.766147044158181,0.6121085758476975,0.5209933290181764,0.5162831105650388
2023-01-01 16:00:00,Hyderabad,27.48,957.6,53.86,-1.9100000000000001,0.39999999999997726,13.89,29.308333333333334,0.974051675562785,16,958.3333333333334,1.2323419438882879,42.20666666666667,5.79540392610117,1,25.90225806451613,2.302966922973151,956.6314516129032,1.7809455301551478,46.73153225806452,11.71834216779629,0.6850910100988304,0.5438394216427423,0.6083170844358469
2023-01-01 17:00:00,Hyderabad,24.21,958.2,66.02,-3.2699999999999996,0.6000000000000227,12.159999999999997,28.496666666666666,2.3122254792010803,17,957.9666666666667,0.7118052168018546,46.26,11.279845743626193,1,22.414516129032258,2.2202619617062167,957.2620967741935,1.7810927833085453,58.446854838709676,12.008379957951412,0.8086810934633848,0.5265886396239648,0.6306550248916568
2023-01-01 18:00:00,Hyderabad,22.79,959.1,69.03,-1.4200000000000017,0.8999999999999773,3.010000000000005,27.325,3.1403805501881457,18,957.9499999999999,0.6774953874379164,51.13833333333333,13.925578503842074,1,21.231612903225805,2.142995922472698,958.1233870967742,1.7595319439970423,60.45556451612903,11.852766155306924,0.7272002155636614,0.5550413032043647,0.7234121867857722
2023-01-01 19:00:00,Hyderabad,21.88,959.7,71.91,-0.9100000000000001,0.6000000000000227,2.8799999999999955,25.953333333333333,3.4615873044987135,19,958.2166666666667,0.9907909298466143,56.625,14.64832925626679,1,20.45217741935484,2.0648162029600337,958.8870967741935,1.7110814220355082,62.2325,11.698389968090845,0.6915010539912914,0.4750815568083696,0.8272505897304554
