district,month,hour,T2M_mean,T2M_std,PS_mean,PS_std,RH2M_mean,RH2M_std
Hanamkonda,1,0,17.930967741935483,2.0533254484676644,979.2911290322581,1.8012196453674176,73.26782258064516,12.054325308159443
Hanamkonda,1,1,17.197741935483872,2.0592617821279573,978.8612903225807,1.8031909240353825,77.9233064516129,12.669492627964205
Hanamkonda,1,2,16.58475806451613,2.0471056163290595,978.616935483871,1.8128592954424396,82.24,13.470633159713662
Hanamkonda,1,3,16.1266935483871,2.0296856746413288,978.6540322580646,1.8100172569607287,85.31524193548387,13.674699174093995
Hanamkonda,1,4,15.794677419354839,2.0278774339110437,979.0524193548387,1.8025033951087297,87.33846774193547,13.438920485364855
Hanamkonda,1,5,15.545564516129033,2.051527411316033,979.792741935484,1.7873163507726781,88.70911290322582,13.007553841143183
Hanamkonda,1,6,15.998548387096774,2.074406837953193,980.6951612903225,1.7630283830571045,88.87241935483871,12.036552620131033
Hanamkonda,1,7,18.64975806451613,1.9112105999212936,981.5895161290323,1.7514601828461442,76.91685483870968,11.322431607530786
Hanamkonda,1,8,21.720483870967744,1.9939505481218986,982.2556451612903,1.7483233510230929,63.58443548387097,10.210904047504732
Hanamkonda,1,9,24.901935483870968,1.8646648720975914,982.3129032258065,1.7335975912663741,50.78677419354839,10.399722131089923
Hanamkonda,1,10,27.12959677419355,1.8594716441604218,981.633064516129,1.7285137078080148,42.730645161290326,9.977996747472808
Hanamkonda,1,11,28.531854838709677,1.925964806023577,980.45,1.756497808949782,38.2891935483871,9.348745978839547
Hanamkonda,1,12,29.37653225806452,1.9950642528336524,979.1225806451613,1.7851619092463122,35.5983064516129,8.987329719252518
Hanamkonda,1,13,29.72088709677419,2.0427926095631457,977.9991935483871,1.8238035823382737,34.1341935483871,8.864739056020777
Hanamkonda,1,14,29.51290322580645,2.068274790361471,977.3943548387097,1.8504362227672824,33.89,9.020379365771655
Hanamkonda,1,15,28.748064516129034,2.066365835993605,977.3104838709677,1.8728621871605036,35.454274193548386,9.558774641116601
Hanamkonda,1,16,26.550483870967742,2.092071309872443,977.6298387096774,1.8807099437375197,49.49629032258064,10.67056116412365
Hanamkonda,1,17,23.726774193548387,1.894014769899353,978.2483870967742,1.8789585366024821,56.15701612903226,10.781159943313845
Hanamkonda,1,18,22.726532258064516,1.8417136083580192,979.0911290322581,1.854417362832074,57.27508064516129,11.263799738378207
Hanamkonda,1,19,21.960887096774194,1.8570905700916172,979.8185483870968,1.8233519983357136,58.60362903225807,11.535618458804786
Hanamkonda,1,20,21.225080645161288,1.873859759946711,980.2008064516128,1.7921008232263387,60.115564516129034,11.654100663730201
Hanamkonda,1,21,20.449193548387097,1.9101341189765622,980.2379032258065,1.7954138840247817,62.18701612903225,11.689247020324993
Hanamkonda,1,22,19.63201612903226,1.9583292945145856,979.9822580645161,1.7942114868907444,64.99088709677419,11.749963363519901
Hanamkonda,1,23,18.79612903225806,2.0092977819903277,979.641129032258,1.7964288014001304,68.60314516129033,11.831792252812596
Hanamkonda,2,0,21.10345132743363,2.015766324463719,978.1168141592921,1.989162721153408,51.11106194690266,15.556484371639277
Hanamkonda,2,1,20.248761061946905,2.003948839498514,977.6902654867257,2.0008018304174593,55.9858407079646,16.75813644204253
Hanamkonda,2,2,19.47575221238938,1.9644132190544719,977.4716814159292,1.9976981855262823,61.295398230088495,18.020939409644225
Hanamkonda,2,3,18.811858407079644,1.913372839419851,977.5761061946903,1.9814440232298831,66.48053097345132,19.141690422100908
Hanamkonda,2,4,18.283008849557522,1.8793016773695057,978.0778761061947,1.965039735752134,70.91035398230089,19.84344084367515
Hanamkonda,2,5,17.879026548672567,1.8718649813000527,978.9283185840708,1.939369790244337,74.3116814159292,20.138190171850052
Hanamkonda,2,6,18.87424778761062,1.8726522469623397,979.8884955752212,1.9169242575948184,72.13557522123894,18.974629487162446
Hanamkonda,2,7,21.96433628318584,1.7476739010683162,980.7539823008849,1.9110129792408181,59.483716814159294,17.01997970845537
Hanamkonda,2,8,25.935132743362832,1.9857263492252857,981.3539823008849,1.9390735728982769,44.82504424778761,13.92274206648283
Hanamkonda,2,9,29.531061946902653,2.076422216058818,981.4362831858407,1.9340031553241868,33.395309734513276,11.94144837999715
Hanamkonda,2,10,31.798318584070795,2.0887115400643412,980.6805309734513,1.913432704735061,27.60008849557522,10.23755206646233
Hanamkonda,2,11,33.21504424778761,2.107624392149083,979.4327433628318,1.8951744396660366,24.557699115044247,9.108557594063626
Hanamkonda,2,12,34.07070796460177,2.127092548197357,978.0787610619468,1.8961168649672189,22.7312389380531,8.407843184952725
Hanamkonda,2,13,34.393362831858404,2.1298346727502198,976.8690265486725,1.8965231179156796,21.761946902654866,8.028359316733656
Hanamkonda,2,14,34.145486725663716,2.1323343978366123,976.1327433628319,1.899315782716997,21.546283185840707,7.969323460563622
Hanamkonda,2,15,33.36646017699115,2.120517086683769,975.9982300884956,1.9026758554394732,22.047345132743363,8.171757987302007
Hanamkonda,2,16,31.602920353982302,2.249292619523471,976.3035398230089,1.9119889234745056,26.977433628318582,10.766176514797985
Hanamkonda,2,17,27.870530973451327,2.1958970834864338,976.9283185840708,1.9151402889004039,35.56424778761062,12.909659299290876
Hanamkonda,2,18,26.405929203539824,2.1051661103309587,977.762831858407,1.920434971667806,36.84575221238938,12.580977761607123
Hanamkonda,2,19,25.513185840707962,2.091785492231938,978.6061946902655,1.9307790427071803,37.92911504424779,12.638606286007885
Hanamkonda,2,20,24.71353982300885,2.081101150985245,979.0654867256636,1.924177463948841,39.108141592920354,12.743826905371012
Hanamkonda,2,21,23.9,2.074419454071085,979.1203539823009,1.9484499009301866,40.748141592920355,12.968971042775284
Hanamkonda,2,22,23.03194690265487,2.072382970333168,978.9017699115044,1.9870106001624235,43.113008849557524,13.376045812581474
Hanamkonda,2,23,22.139115044247784,2.075075970004353,978.5522123893804,2.020789155659454,46.31610619469027,14.027357417970043
